Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Dekalog (1988),1996-03-22,7.4,118,Krzysztof Kieslowski,9 h 32 m,Drama
Three Colors: Red,1994-11-23,8.3,241,Krzysztof Kieslowski,1 h 39 m,Drama
The Conformist,1970-10-22,7.3,106,Bernardo Bertolucci,1 h 47 m,Drama
Tokyo Story,1972-03-13,8.1,147,Yasujirô Ozu,2 h 16 m,Drama
The Leopard (re-release),2004-08-13,7.8,85,Luchino Visconti,3 h 7 m,Drama
The Godfather,1972-03-24,9.3,4102,Francis Ford Coppola,2 h 55 m,Crime
Boyhood,2014-07-11,7.5,2677,Richard Linklater,2 h 45 m,Drama
Lawrence of Arabia (re-release),2002-09-20,8.6,446,David Lean,3 h 36 m,Adventure
Fanny and Alexander (re-release),2004-05-21,8.4,134,Ingmar Bergman,3 h 8 m,Drama
Playtime,1973-06-27,7.7,22,Jacques Tati,2 h 35 m,Comedy
Army of Shadows,2006-04-28,7.7,67,Jean-Pierre Melville,2 h 25 m,Drama
Pépé le Moko (re-release),2002-03-01,6.3,23,Julien Duvivier,1 h 34 m,Crime
Pan's Labyrinth,2006-12-29,8.8,1872,Guillermo del Toro,1 h 58 m,Drama
Hoop Dreams,1994-10-14,8.2,120,Steve James,2 h 50 m,Documentary
Metropolis (re-release),2002-07-12,8.6,233,Fritz Lang,2 h 33 m,Drama
My Left Foot,1989-11-10,8.3,111,Jim Sheridan,1 h 43 m,Biography
Ran,1985-12-20,8.5,214,Akira Kurosawa,2 h 42 m,Action
"Quo Vadis, Aida?",2021-03-05,8.1,150,Jasmila Zbanic,1 h 41 m,Drama
Rififi (re-release),2000-07-21,8.2,49,Jules Dassin,2 h 2 m,Crime
"4 Months, 3 Weeks and 2 Days",2008-01-23,8.0,248,Cristian Mungiu,1 h 53 m,Drama
Parasite,2019-10-11,8.7,2098,Bong Joon Ho,2 h 12 m,Drama
American Graffiti,1973-08-11,7.4,102,George Lucas,1 h 50 m,Comedy
Roma,2018-11-21,7.6,887,Alfonso Cuarón,2 h 15 m,Drama
Spirited Away,2002-09-20,8.8,1850,Hayao Miyazaki,2 h 5 m,Animation
Toy Story,1995-11-22,8.8,1666,John Lasseter,1 h 21 m,Animation
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021-07-02,7.9,91,Questlove,1 h 57 m,Documentary
12 Years a Slave,2013-10-18,8.1,1694,Steve McQueen,2 h 14 m,Biography
Manchester by the Sea,2016-11-18,8.2,1064,Kenneth Lonergan,2 h 17 m,Drama
The Battle of Algiers,2004-01-09,8.4,77,Gillo Pontecorvo,2 h 1 m,Drama
Killer of Sheep,2007-03-30,7.6,28,Charles Burnett,"
        http://www.killerofsheep.com/
        ",Drama
Nashville,1975-06-11,7.9,30,Robert Altman,2 h 40 m,Comedy
Ratatouille,2007-06-29,8.6,1801,"Brad Bird 
    
      Jan Pinkava",1 h 51 m,Animation
Children of Paradise (1945),2012-03-09,8.0,21,Marcel Carné,3 h 10 m,Drama
Mean Streets,1973-10-14,7.3,109,Martin Scorsese,1 h 52 m,Crime
Gravity,2013-10-04,7.8,3711,Alfonso Cuarón,1 h 31 m,Drama
Beauty and the Beast,1991-11-22,7.8,38,"Jean Cocteau 
    
      René Clément",1 h 33 m,Drama
